# temp[K]  intensity  error(1sigma)
165.000000 1.106932e+03 1.185325e+01
170.000000 1.059909e+03 1.158103e+01
175.000000 9.225645e+02 1.076863e+01
180.000000 7.419156e+02 6.858227e+00
182.500000 6.448753e+02 6.377614e+00
183.000000 6.067325e+02 6.192580e+00
183.500000 5.653356e+02 5.965317e+00
184.000000 5.651860e+02 5.963730e+00
184.500000 5.514655e+02 5.887773e+00
185.000000 5.408420e+02 5.841222e+00
185.500000 5.231869e+02 5.741413e+00
186.000000 4.961282e+02 5.582085e+00
186.500000 4.807965e+02 5.489058e+00
187.000000 4.548963e+02 5.340737e+00
187.500000 4.367431e+02 5.226385e+00
188.000000 4.338264e+02 5.210759e+00
188.500000 4.047590e+02 5.034841e+00
189.000000 3.806575e+02 4.879617e+00
189.500000 3.666706e+02 4.781174e+00
190.000000 3.629876e+02 4.770548e+00
190.500000 3.358531e+02 4.571743e+00
191.000000 3.133842e+02 4.414945e+00
191.500000 3.122596e+02 4.407919e+00
192.000000 2.912647e+02 4.260114e+00
192.500000 2.767437e+02 4.151116e+00
193.000000 2.775768e+02 4.149498e+00
194.000000 2.590988e+02 4.019850e+00
195.000000 2.514065e+02 3.940685e+00
196.000000 2.450939e+02 3.900568e+00
197.000000 2.401502e+02 3.862069e+00
198.000000 2.371014e+02 3.843141e+00
199.000000 2.355317e+02 3.829967e+00
200.000000 2.299919e+02 3.778521e+00
201.000000 2.247062e+02 3.736230e+00
202.000000 2.310076e+02 3.797914e+00
203.000000 2.247693e+02 3.726782e+00
