# Time(sec)	Temperature(K)
0.000000	179.949000
0.217445	179.947000
1.217591	179.944000
3.318138	179.956000
4.218304	179.984000
5.219195	180.037000
6.218859	180.110000
7.218871	180.201000
8.369032	180.320000
9.219253	180.428000
10.219584	180.559000
11.219883	180.697000
12.219853	180.841000
13.399732	181.022000
14.220647	181.142000
15.220422	181.294000
16.220501	181.448000
17.220892	181.601000
18.371075	181.767000
19.221308	181.902000
20.222004	182.050000
21.221490	182.195000
22.222194	182.336000
23.301972	182.490000
24.222255	182.612000
25.222501	182.744000
26.222813	182.872000
27.223047	182.997000
28.393085	183.142000
29.223405	183.236000
30.223657	183.350000
31.223773	183.462000
32.224126	183.568000
33.404055	183.692000
34.234480	183.772000
35.224665	183.869000
36.214875	183.964000
37.214983	184.052000
38.415145	184.159000
39.215368	184.227000
40.215444	184.309000
41.215483	184.388000
42.216119	184.466000
43.406159	184.554000
44.216338	184.611000
45.216603	184.681000
46.216826	184.747000
47.216923	184.812000
48.417045	184.887000
49.217446	184.936000
50.217762	184.994000
51.217843	185.051000
52.218119	185.107000
53.398394	185.169000
54.218640	185.212000
55.218749	185.262000
56.219217	185.311000
57.219117	185.358000
58.369279	185.410000
59.219398	185.450000
60.219757	185.491000
61.219747	185.535000
62.219999	185.576000
63.410296	185.623000
64.220475	185.654000
65.220624	185.691000
66.221043	185.729000
67.221097	185.765000
68.411382	185.807000
69.221474	185.833000
70.221641	185.866000
71.221872	185.899000
72.222272	185.929000
73.402595	185.965000
74.222716	185.989000
75.222751	186.017000
76.222637	186.046000
77.233176	186.073000
78.293175	186.103000
79.233274	186.126000
80.233768	186.152000
81.233829	186.175000
82.234052	186.199000
83.514552	186.230000
84.234436	186.245000
85.214716	186.269000
86.214828	186.290000
87.215195	186.311000
88.425422	186.336000
89.215520	186.353000
90.215637	186.372000
91.216268	186.390000
92.216241	186.411000
93.396338	186.432000
94.216733	186.447000
95.216819	186.464000
96.217007	186.481000
97.217399	186.499000
98.407672	186.517000
99.217480	186.530000
100.218200	186.547000
101.218030	186.562000
102.218098	186.578000
103.348654	186.594000
104.218649	186.605000
105.218829	186.621000
106.219267	186.635000
107.219385	186.648000
108.329517	186.663000
109.219776	186.675000
110.219953	186.688000
111.220004	186.701000
112.220504	186.714000
113.400642	186.729000
114.220520	186.738000
115.221180	186.750000
116.231000	186.762000
117.231387	186.773000
118.421717	186.788000
119.221572	186.797000
119.998196	186.797000
120.064862	186.797000
120.221909	186.807000
121.222312	186.818000
122.222268	186.825000
123.322524	186.822000
124.222740	186.804000
125.222702	186.766000
126.223041	186.706000
127.233266	186.628000
128.403680	186.513000
129.233688	186.427000
130.214163	186.310000
131.214327	186.183000
132.214322	186.053000
133.464819	185.889000
134.215144	185.776000
135.215250	185.634000
136.215297	185.490000
137.215694	185.346000
138.375867	185.190000
139.216041	185.062000
140.216382	184.923000
141.216440	184.787000
142.216765	184.652000
143.326687	184.507000
144.217258	184.390000
145.217044	184.262000
146.217665	184.138000
147.217625	184.017000
148.387848	183.888000
149.218013	183.784000
150.218232	183.673000
151.218342	183.565000
152.218884	183.462000
153.388810	183.352000
154.219091	183.263000
155.219423	183.167000
156.219532	183.077000
157.219597	182.988000
158.419639	182.886000
159.239852	182.818000
160.220236	182.739000
161.220584	182.662000
162.220612	182.586000
163.430736	182.501000
164.221235	182.445000
165.221249	182.377000
166.231561	182.311000
167.221643	182.247000
168.431779	182.172000
169.231967	182.125000
170.232024	182.068000
171.232261	182.011000
172.222706	181.957000
173.332476	181.898000
174.223335	181.853000
175.223235	181.804000
176.223793	181.756000
177.213637	181.710000
178.423644	181.656000
179.213863	181.623000
180.214269	181.579000
181.214597	181.540000
182.214629	181.500000
183.384941	181.457000
184.215097	181.424000
185.215198	181.386000
186.215451	181.351000
187.215592	181.317000
188.376164	181.279000
189.216240	181.250000
190.216106	181.219000
191.216091	181.188000
192.216793	181.158000
193.387247	181.126000
194.216895	181.101000
195.217350	181.075000
196.217439	181.047000
197.217776	181.020000
198.387960	180.993000
199.218021	180.969000
200.218269	180.945000
201.218654	180.922000
202.228832	180.899000
203.389049	180.875000
204.219146	180.856000
205.219265	180.834000
206.239387	180.813000
207.219781	180.792000
208.350081	180.771000
209.239857	180.754000
210.230374	180.734000
211.230714	180.715000
212.220513	180.698000
213.511008	180.676000
214.221125	180.664000
215.221239	180.646000
216.231660	180.628000
217.221782	180.611000
218.472214	180.592000
219.222241	180.581000
220.222388	180.566000
221.222507	180.551000
222.223069	180.536000
223.273208	180.522000
224.223216	180.508000
225.223543	180.495000
226.223429	180.480000
227.223776	180.468000
228.394218	180.456000
229.224089	180.444000
230.224313	180.432000
231.224829	180.419000
232.224706	180.407000
